TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
CONTRA LOS PUENTES LEVADISOZ;BENEDETTI  MARIO ;VISOR LIBROS ;7500;POESIA;
CONTRAGREOGRAFIAS DE LA GLOBALIZACION ;SAKIA SASSEN;TRAFICANTES DE SUEÑOS;10500;SOCIOLOGIA;
CONTRAHISTORIA DE LA EUDEMONIZACION SOCIAL;ONFRAY MICHEL;AKAL;20000;FILOSOFIA;
CORAZONES ESTALLADOS;ZOOEY  JP;CÍA NAVIERA LIMITADA EDITORES;13000;ENSAYO;
CORONACION ;DONOSO  JOSE ;ALFAGUARA;13000;LITERATURA CHILENA;
CORONACION (ED. ANIV);DONOSO  JOSE;ALFAGUARA;6555;LITERATURA CHILENA;
COSAS QUE CUENTAN ;URRUTIA  VERENA;HUEDERS;12000;LITERATURA CHILENA;
COSMOS;ONFRAY MICHEL;PAIDOS;28000;FILOSOFIA;
COTIDIANAS ;BENEDETTI  MARIO ;VISOR LIBROS ;7600;POESIA;
CREACION Y ANARQUIA;AGAMBEN  GIORGIO;ADRIANA HIDALGO;15200;ENSAYO;
CREAR O MORIR LA ESPERANZA DE LATINOAMÉR;OPPENHEIMER  ANDRES;DEBATE;15000;ENSAYO;
CRIMEN Y CASTIGO;DOSTOIEVSKI  FIODOR;AKAL;22881;LITERATURA UNIVERSAL;
CRISIS CÓMO REACCIONAN LOS PAÍSES EN LOS MOMENTOS DECISIVOS;JARED DIAMOND  ;DEBATE ;17500;ENSAYO;
CRITICA DE LA RAZÓN PURA;KANT;FCE;25000;FILOSOFIA;
CRÍTICA DEL ESPECTÁCULO Y DE LA VIDA COTIDIANA;GUY DEBORD;CATARATA;17800;FILOSOFIA;
CRITICA HIPERCAPITALISMO;ALBINO PRADA BLANCO;CATARATA;19000;FILOSOFIA;
CRITICA: ENSAYOS ARTICULOS Y ENTREVISTAS ;PESSOA  FERNANDO;ACANTILADO;31500;ENSAYO;
CRONICAS DESDE BERLIN;XAMMAR  EUGENIO;ACANTILADO;26891;ENSAYO;
CUADERNOS DE GUERRA;ZURITA  RAUL;TACITAS;8000;POESIA;
CUARTO PROPIO  UN;WOOLF  VIRGINIA;EL CUENCO DE PLATA;14800;FEMINISMO;
CUECAS;PARRA  ROBERTO;TACITAS;8000;POESIA;
CUENTO MUY ABURRIDO PARA QUEDARSE DORMIDO;ESTELA ANTIN;TAKATUKA;8000;INFANTIL;
CUENTOS;POE  EDGAR ALLAN;ESPASA;12000;TERROR / SUSPENSO ;
CUENTOS CHILENOS DE TERROR  MISTERIO Y FANTASÍA;JESÚS DIAMANTINO;CUARTO PROPIO ;12000;LITERATURA CHILENA;
CUENTOS COMPLETOS ;ROJAS  MANUEL;ALFAGUARA;21500;LITERATURA CHILENA;
CUENTOS COMPLETOS ;BOLAÑO  ROBERTO ;ALFAGUARA;18000;LITERATURA CHILENA;
CUENTOS DE EDGAR ALLAN POE;POE  EDGAR ALLAN;DEBOLSILLO;16000;TERROR / SUSPENSO ;
CUENTOS DE EVA LUNA;ALLENDE  ISABEL;DEBOLSILLO;6000;LITERATURA CHILENA;
CUENTOS DE LA PESTE  LOS;VARGAS LLOSA  MARIO;ALFAGUARA;19000;LITERATURA LATINOAMERICANA;
CUENTOS DE NAVIDAD ;DICKENS  CHARLES;PENGUIN CLASICOS ;9900;LITERATURA UNIVERSAL;
CUENTOS DE TERROR  ;AAVV;FACTOTUM EDICIONES;13000;LITERATURA LATINOAMERICANA;
CUENTOS JAPONESES;VARIOS ;MONTACERDOS ;11900;LITERATURA LATINOAMERICANA;
CUENTOS REBELDES Y VAGABUNDOS;MAXIMO GORKI;LA LINTERNA SORDA;19500;LITERATURA UNIVERSAL;
CUERPOS ALIADOS Y LUCHA POLÍTICA;BUTLER  JUDITH;PAIDOS;15000;FEMINISMO;
CUERPOS DE MUJERES  MIRADAS DE HOMBRES;KAUFMANN  JEAN CLAUDE;LOM;12000;FEMINISMO;
DANDOLE PENA A LA TRISTEZA;ECHENIQUE  ALFREDO BRYCE;PEISA;18500;LITERATURA LATINOAMERICANA;
DE ADOLF A HITLER;WEBER  THOMAS;TAURUS;19700;BIOGRAFIA ;
DE ANIMALES A DIOSES ;YUVAI HARARI;DEBATE;16000;HISTORIA ;
DE BUONAPARTE Y DE LOS BORBONES;CHATEAUBRIAND;ACANTILADO;16500;ENSAYO;
DE LA LIBERTAD;MILL  JOHN STUART;ACANTILADO;17000;ENSAYO;
DE LA MUJER EN EL SIGLO XXI;SHAMI CHAKRABARTI;GRANO DE SAL;18000;LITERATURA LATINOAMERICANA;
DE LA PATRIA Y OTROS HORRORES VÍCTOR HUGO CODOCEDO ;ALDO RAMELLA;CUARTO PROPIO ;14000;LITERATURA CHILENA;
DE LA REBELION POPULAR A LA SUBLEVACION IMAGINADA;LUIS ROJAS NUÑEZ;LOM;15000;HISTORIA DE CHILE ;
DE LA REVOLUCION DEL TRABAJO;PIERRE ROLLE;TRAFICANTES DE SUEÑOS;18500;SOCIOLOGIA;
DEBATES SOBRE MARXISMO ;VIDAL  PAULA;AMERICA EN MOVIMIENTO ;12000;SOCIOLOGIA;
DECIMA FEMINISTA ;VARIAS AUTORAS ;CUARTO PROPIO ;9000;FEMINISMO;
